CaseID,Title,Location,Country,Number of Victim Fatalities,Number of Victims Injured,Total Number of Victims,Description,Date,
119,Hartford Beer Distributors ,"Manchester, Connecticut",US,8,2,10,"On August 3, 2010, a 34-year old man was called into his place of employment at Hartford Beer Distributors in Manchester, Connecticut for disciplinary purposes. He signed resignation papers after he was accused of stealing beer and while he was been escorted out of the building, he opened fire killing eight coworkers and injuring two others before committing suicide.",8/3/10,
120,"Tucson, Arizona","Tucson, Arizona",US,6,13,19,"On January 8, 2011, a 22-year old went to a parking lot where a U.S. Representative was holding a meeting in a supermarket parking lot in Casas Adobes, near Tucson, Arizona. The gunman shot and injured the congresswoman, her intended target and then started to shoot randomly, killing six people and injuring twelve others. The shooter was subdued by bystanders and arrested by police.",1/8/11,
121,Youngstown State University ,"Youngstown, Ohio",US,1,11,12,"On February 6, 2011, two 19-year old man and a 22-year old man were involved in an argument over a girl in a fraternity house party in Youngstown State University in Ohio. A dispute ensued and one man was thrown out of the party and the other followed. They returned sometime later and began spraying bullets into the crowd, killing one student and injuring eleven others.",2/6/11,
122,Southern Union State Community College,"Opelika, Alabama",US,1,3,4,"On April 6, 2011, a 34-year old man went to the Opelika campus of Southern Union State Community College in Alabama, where his former wife was a student. He fired into a car and shot and killed his mother-in-law and injured his estranged wife, her grandmother, and her 4-year old daughter. Hours later returned to the crime scene and confessed to a photographer that he was the shooter. He was later arrested by the police.",4/6/11,
123,Residences in Grand Rapids ,"Grand Rapids, Michigan",US,7,2,9,"On July 7, 2011, a 34-year old man went to two homes on a shooting rampage, killing his extranged wife, their daughter, his former girlfriend, and members of the victims' families. The shooter kept shooting at random as he fled by car and followed and shot another ex-girlfriend while she was driving on her car. The gunman was chased by police that forced him to exit his vehicle and ran on foot, entering a random residence where he took three hostages. He ended releasing the hostages and committing suicide.",7/7/11,
124,Carson City IHOP,"Carson City, Nevada",US,4,7,11,"On September 6, 2011, a 32-year old man arrived at a local strip mall in Carson City, Nevada. He got out and shot and wounded a man on a motorcycle. He then walked inside the center's IHOP restaurant and shot eleven people, four of them fatally. Then he left the restaurant and began shooting into nearby businesses, injuring no one. When police arrived, the shooter turned the gun of himself.",9/6/11,
125,Salon Meritage,"Seal Beach, California",US,8,1,9,"On October 12, 2011, a 41-year old allegedly opened fire at a hair salon in Seal Beach, California, where his former wife worked. Eight people inside the salon and one person in the parking lot were shot, and only one victim survived. The shooter was later arrested about half a mile away from the salon. He argued earlier that day over the phone with his ex-wife over a custody dispute regarding their 8-year old son.",10/12/11,
168,Ensley Birmingham,"Birmingham, Alabama",US,5,0,5,"Three teenagers attempted to rob a house in the early morning of January 29, 2012. Five people were in the house playing cards, and each was shot to death in the back of the head; four of their bodies were found naked in bedroom, and one had been shot 12 times.",1/29/12,
126,Su Jung Health Sauna,"Norcross, Georgia",US,4,0,4,"On February 22, 2012, a 59-year old man hours before the shooting unfolded, police said Paek was asked to leave the spa because he was being disruptive. Burst into a spa his family owned in Norcross, near Atlanta, Georgia. He killed four relatives before turning the gun on himself.
",2/22/12,
127,Chardon High School,"Chardon, Ohio",US,3,3,6,"On February 27, 2012, a 17-year old student entered Chardon High School in Chardon, Ohio, shooting  students in the cafeteria and in the hallway, leaving three students dead and three injured. He then was chased out of the school by a teacher and was arrested outside the school.",2/27/12,
128,Oikos University,"Oakland, California",US,7,3,10,"On April 2, 2012, a 43-year old former student at Oikos University, a Korean Christian college in Oakland, California, opened fired in a classroom killing seven people and injuring other three. The attacker continued to fire shots as he fled the campus, driving away in a car belonging to one of his victims. Hours later he surrended to authorities.",4/2/12,
129,"North Tulsa, Oklahoma","Tulsa, Oklahoma",US,3,2,5,"On April 6, 2012, a 19-year old and a 32-year old man went on a deadly shooting spree in Tulsa, Oklahoma, shooting black men at random in an apparently racially motivated attack. Three men died and two were wounded. The victims were chosen at random.",4/6/12,
130,Cafe in Seattle,"Seattle, Washington",US,5,1,6,"On May 30, 2012, a 40-year old man went to a coffee shop in Seattle, Washington, where he was asked to leave due to his belligerent behaviour the previous week. The man opened fire and killed four people and injured another one. He then fled and later killed a female motorist, taking off with her SUV. Five hours later, while he was being confronted by police, he killed himself with a gunshot.",5/30/12,
