CaseID,Title,Location,Country,Number of Victim Fatalities,Number of Victims Injured,Total Number of Victims,Description,Date,
102,Westroads Mall,"Omaha, Nebraska",US,8,4,12,"On December 5, 2007, a 19-year-old man from Omaha, Nebraska entered the Westroads Mall with the intention of taking lives before committing suicide. He killed eight shoppers and wounded four more with a stolen assault rifle before successfully killing himself.",12/5/07,
103,Youth With A Mission and New Life Church,"Arvada, Colorado",US,4,5,9,"On December 9, 2007, a 24-year-old failed missionary entered the Youth With A Mission training center in Arvada, Colorado and began shooting, killing two and wounding two others. He then went to the New Life Church, shooting and killing two more and wounding three others. A former police officer in the congregation opened fire on the shooter, wounding him before he decided to take his own life. ",12/9/07,
104,Mojave High School Bus,"Las Vegas, Nevada",US,0,6,6,"On December 11, 2007, an 18-year-old high school drop out of Mojave High School in Las Vegas, Nevada arrived at a school bus stop where he planned an encounter with a student who had bumped into him the day before. He then began shooting at the student and others, wounding six before fleeing the scene. The shooter was arrested in Denver, CO after the police received a tip that he was on a bus to Chicago.",12/11/07,
105,"Carnation, Washington","Carnation, Washington",US,6,0,6,"On December 24, 2007, an unemployed woman and her boyfriend, both aged 29, shot the woman's father in regards to a financial dispute in his home in Carnation, Washington. The couple then shot the woman's mother before her brother, his wife and children arrived, upon which the couple shot and killed all four. They were later arrested in the home.",12/24/07,
106,Kirkwood City Hall,"Kirkwood, Missouri",US,5,2,7,"On February 7, 2008, a 52-year-old construction worker entered the City Hall building in Kirkwood, Missouri and opened fire on a police officer, taking the officer's gun and continuing on to the commencing city council meeting. He began shooting at the council members and reporters, killing five and wounding two others before being killed by police. The mayor suffered wounds that he died from several months later.",2/7/08,
107,Northern Illinois University,"DeKalb, Illinois",US,5,17,22,"On February 14, 2008, a 27-year old former student of the Northern Illinois University in Dekalb, Illinois forcefully entered an oceanography lecture hall and began shooting at students and the professor. The shooter killed five and wounded seventeen before committing suicide. The shooter was said to have been taking medication for anxiety, depression and insomnia but had stopped the medication shortly before the incident.",2/14/08,
108,Atlantis Plastics,"Henderson, Kentucky",US,6,1,7,"On June 25, 2008, a 25-year-old factory worker at Atlantis Plastics in Henderson, Kentucky had been reprimanded by a supervisor and escorted out of his workplace. He returned with a gun and began shooting, killing his supervisor, five employees and wounded a sixth before committing suicide.",6/25/08,
109,South Mountain Community College,"Phoenix, Arizona",US,0,3,3,"On July 24, 2008, a 24-year-old man arrived at the South Mountain Community College in Phoenix, Arizona. He began shooting at two men who had hospitalized him seven months prior and a third was wounded in the incident before the shooter was arrested. No fatalities resulted from the shooting.",7/24/08,
110, University of Central Arkansas,"Conway, Arkansas",US,2,1,3,"On October 26, 2008, four men between the ages of 19 and 20 arrived at a dormitory at the University of Central Arkansas in Conway, Arkansas and began shooting. The shooters killed two students and wounded a visitor before being arrested.",10/26/08,
111,"Covina, California","Covina, California",US,9,2,11,"On December 24, 2008, a 45-year-old man entered his brother's residence in Covina, California while dressed in a Santa Claus costume. He then opened fire on his family and ex-wife, killing several before setting the house ablaze. He committed suicide with a gunshot wound to the head. Nine victims died in the incident and two of the wounded escaped the fire.",12/24/08,
112,"Geneva County, Alabama","Geneva, Alabama",US,10,6,16,"On March 10, 2009, a 28-year-old grocery worker in Geneva County, Alabama went to his mother's home to kill her and her three dogs before setting the house on fire. He then went to his uncle's house, killing him, two of his cousins, two neighbors and wounded an aunt and an infant neighbor. He then went next-door and killed his grandmother before fleeing the scene. He killed three passers by and shot at anyone trying to flee or stop him. In total, ten were killed and six were wounded. He committed suicide as police attempted to detain him.",3/10/09,
113,"Rivermark, Santa Clara, California","Santa Clara, California",US,5,1,6,"On March 29, 2009, a 42-year-old web analytics technician for Yahoo! in Santa Clara, California began shooting in his home. He killed his two children, his brother-in-law, sister-in-law, and their infant daughter before committing suicide. He was found to have a growing brain tumor during the autopsy.",3/29/09,
114,Pinelake Health and Rehab nursing home,"Carthage, North Carolina",US,8,2,10,"On March 29, 2009, a 45-year old man opened fire at the Pinelake Health and Rehab nursing home in Carthage, North Carolina, where his estranged wife worked. The shooter killed eight people and wounded another two before being shot and arrested by a police officer. His ex-wife, the apparent main target, survived the shooting unharmed by hiding in the Alzheimer ward of the building, which was secured by passcode-protected doors.",3/29/09,
115,Immigration Services Center in Binghamton,"Binghamton, New York",US,13,4,17,"On April 3, 2009, a 41-year old unemployed man entered an immigration services center in Binghamton, New York, where he previously took classes. He shot and killed thirteen people in the building and injured four others before he committed suicide.",4/3/09,
116,Fort Hood Army Base,"Fort Hood, Texas",US,13,32,45,"On November 5, 2009, a 39-year old U.S. Army psychiatrist fatally shot thirteen people and injured thirty-two at Fort Hood Army Base located in Killeen, Texas. He was shot and wounded by another solider and arrested as he fell unconscious.",11/5/09,
117,Parkland Coffee Shop,"Lakewood, Washington",US,4,0,4,"On November 29, 2009, a 37-year old convicted felon who was out on bail, entered a coffee shop in Lakewood, Washington. The gunman shot and killed four off-duty police officers who had gone there to use their laptops before their shifts. After a two-day manhunt, the gunman was shot and killed by a police officer in south Seattle.",11/29/09,
118,University of Alabama in Huntsville,"Huntsville, Alabama",US,3,3,6,"On February 12, 2010, a 44-year old professor went to a faculty meeting at the University of Alabama in Huntsville. She sat quietly at the meeting for 30 or 40 minutes before pulling out a gun, killing three of her coworkers and injuring three others. She was later arrested outside the building.",2/12/10,
